time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.92187106371e-08,3.37314260893e-07,10.0034078517,0.000306398448903,6.28301206657,0.0,1.12188300677e-05,2.88180058054e-05,0.113589755548,0.0137458251939,-0.00939853313283,0.0,441.15591717511694,440.37938471024273,441.0461077067167,442.1796635720345
0.12000000000000001,6.09620530711e-06,1.09074524579e-05,10.0118747372,0.000769957533824,6.2824847846,0.0,0.000241010805146,0.000388836563507,0.168632671465,-0.00840181281051,-0.00759415120446,0.0,421.90526672254333,422.0611138122947,423.80010150490114,421.89243856288283
0.18,4.26050733929e-05,5.35980879355e-05,10.032580822,0.000452841976701,6.28212995543,0.0,0.00103211987221,0.000977739436991,0.521476732763,0.000314972355895,-0.00274865498978,0.0,510.37081071418453,510.7165762799228,511.0068869168753,511.6278669780794
0.23999999999999996,0.000130867758193,0.000123374635207,10.0703751219,0.00055604725881,6.28181239603,0.0,0.00193795379134,0.00135554000924,0.738218150289,0.00439202182633,-0.0109400829302,0.0,473.1091537072027,472.4782260409229,472.661886367812,472.9759066579633
0.3,0.000273995727254,0.000215545164857,10.1149237463,0.000824390682932,6.28093717988,0.0,0.00289962089164,0.00174033232092,0.746730279296,0.00463265258146,-0.0231156256918,0.0,407.448083795113,406.3583203338782,407.90576167594367,407.9271664740367
0.36000000000000004,0.000510106190832,0.000343569089764,10.1670007761,0.00208435245445,6.27980375463,0.0,0.00512399733037,0.00263595325581,0.988992210267,0.0420587888826,-0.0115544265339,0.0,479.59046405678134,480.4677221135792,479.5892918406194,482.423197113152
0.4200000000000001,0.000889330282945,0.000554998915352,10.229545737,0.00465421268418,6.28007447165,0.0,0.00752656927434,0.00467381569686,1.09574241191,0.0443319343507,0.0253166414774,0.0,438.3921597319765,441.44484068599877,440.05883855627764,440.2479692494534
0.48000000000000015,0.00140284116,0.000948103993368,10.299506422,0.00741795388144,6.28156672157,0.0,0.0094274586184,0.0087220015086,1.23613769299,0.0493151982369,0.0239640838511,0.0,450.254701053829,450.1453633325628,451.09226026877485,451.4956560565281
0.5400000000000001,0.00199563526937,0.00164012514643,10.3771127378,0.00981012610558,0.00074305278533,0.0,0.0101233126442,0.0146412232736,1.35060869981,0.00346925019379,0.0595784792221,0.0,441.978586964726,444.9045244315005,444.44364081955996,440.6711185771321
0.6000000000000002,0.002578029989,0.00269387643794,10.4582501725,0.0103973295505,0.00438034512883,0.0,0.00897351030546,0.0205206670281,1.35396746045,0.0201132263208,0.0626291803041,0.0,407.5118479526374,407.78740082801266,405.522165955106,407.0142715413044
0.6600000000000003,0.00300842208783,0.00415150540214,10.5430651831,0.0122369337947,0.00834777275798,0.0,0.00496789758201,0.0282309364802,1.47304934045,0.046116264113,0.0723262171587,0.0,444.2626609322085,445.0601890817009,443.7662330928092,445.89567999808156
0.7200000000000003,0.00313780332496,0.00608030668704,10.632223604,0.0147387489089,0.0126418121383,0.0,-0.00104787187711,0.0363034678374,1.49885725267,0.0309422943566,0.0700055049444,0.0,414.6503029559271,414.45074300129215,415.94987048526593,414.6200340778876
0.7800000000000004,0.00281646518474,0.00854915368862,10.7237582362,0.0167344463352,0.0167203762342,0.0,-0.0100564436314,0.0461737390609,1.55221737839,0.0375369630707,0.063574788538,0.0,424.2688603738437,423.72013172989074,424.0090130649071,424.5756281976123
0.8400000000000004,0.00183914193437,0.0116878219665,10.8206865488,0.0192419753775,0.0205089851939,0.0,-0.0229204919529,0.0586984983872,1.67853708073,0.0491722227055,0.0622670291871,0.0,447.10905334278385,447.00537353930935,447.67426405623166,448.6208408224247
0.9000000000000005,6.39244922126e-06,0.0156366200561,10.9253084717,0.022281370277,0.0243634988702,0.0,-0.0385712969973,0.0732428928067,1.80864727909,0.053470326686,0.067923215652,0.0,448.38277894050265,448.84499061253314,449.5948373045658,449.9445063132274
0.9600000000000005,-0.00286732744184,0.0205402829533,11.0384198632,0.0250663039067,0.0287009603998,0.0,-0.0576763416775,0.0905423245264,1.96146156003,0.0260424693226,0.0798390714613,0.0,456.29654341639105,457.25058721540773,457.5798880719436,455.392466850448
1.0200000000000005,-0.00695420359243,0.0265092464075,11.1596062117,0.0262945117731,0.0331726052512,0.0,-0.0790335774048,0.108566502557,2.07785847973,0.00596848150526,0.0609323160904,0.0,447.15306851216513,445.6144988802386,446.3831158884644,444.74205948177934
1.0800000000000005,-0.0123420978856,0.0335259743377,11.2856890065,0.0267398214333,0.0366442025603,0.0,-0.100896379525,0.125359399821,2.12480027321,0.0101807293829,0.0508751967766,0.0,423.1736857040345,422.30960574191215,425.5199126657627,425.88022629544116
1.1400000000000006,-0.0190439693148,0.0415147058693,11.4129175526,0.0274322957276,0.0392270711143,0.0,-0.122749547124,0.140987442078,2.1161539014,0.0141321036393,0.0188544014002,0.0,407.25935460177465,404.3863522124029,405.5723322519009,405.926951558018
1.2000000000000006,-0.0273377171872,0.0506222479884,11.5457353153,0.0280168357674,0.0409428553161,0.0,-0.153865060156,0.162671465889,2.31071928099,-0.000927218168347,0.0431564842513,0.0,469.6077334083666,471.48910992922504,470.88601748710164,469.7195664607046
1.2600000000000007,-0.0374439500579,0.0609726373893,11.6878031421,0.0277182391308,0.0435811042756,0.0,-0.183272033759,0.182317015739,2.42462521033,-0.0146436292237,0.0455512132655,0.0,447.2759876445809,447.472045170279,446.62754418405416,445.50755296430015
